haplo.freq,locus1,locus2,allele1,allele2
0.00871,A,DQA1,68:01,01:02
0.00769,A,DQA1,23:01,05:01
0.00729,A,DQA1,68:01,05:01
0.00718,A,DQA1,26:01,01:02
0.00669,A,DQA1,03:01,01:03
0.00667,A,DQA1,02:05,03:01
0.00667,A,DQA1,68:02,02:01
0.00647,A,DQA1,11:01,01:03
0.00628,A,DQA1,68:01,04:01
0.00617,A,DQA1,25:01,01:03
0.00611,A,DQA1,26:01,03:01
0.00589,A,DQA1,32:01,01:02
0.005,A,DQA1,30:01,01:01
0.005,A,DQA1,02:02,01:02
0.005,A,DQA1,02:05,05:01
0.005,A,DQA1,02:06,03:01
0.00497,A,DQA1,33:01,02:01
0.00479,A,DQA1,68:01,02:01
0.00471,A,DQA1,30:02,05:01
0.00471,A,DQA1,25:01,02:01
0.00467,A,DQA1,01:01,04:01
0.00447,A,DQA1,30:01,03:01
0.00446,A,DQA1,33:01,01:02
0.0044,A,DQA1,03:01,02:01
0.00438,A,DQA1,26:01,01:03
0.00425,A,DQA1,23:01,01:01
0.00411,A,DQA1,68:02,01:02
0.0041,A,DQA1,33:01,04:01
0.00394,A,DQA1,66:01,05:01
0.00393,A,DQA1,24:02,02:01
0.00379,A,DQA1,68:02,01:01
0.00377,A,DQA1,68:02,05:01
0.00335,A,DQA1,29:02,03:01
0.00333,A,DQA1,34:02,01:02
0.00333,A,DQA1,74:01,01:02
0.00333,A,DQA1,29:01,02:01
0.00332,A,DQA1,26:01,05:01
0.00323,A,DQA1,68:01,01:01
0.0031,A,DQA1,30:01,05:01
0.00283,A,DQA1,33:01,01:01
0.00283,A,DQA1,25:01,05:01
0.0028,A,DQA1,26:01,02:01
0.00272,A,DQA1,66:01,02:01
0.00271,A,DQA1,29:02,01:02
0.00263,A,DQA1,33:01,03:01
0.00248,A,DQA1,26:01,04:01
0.00243,A,DQA1,30:01,01:02
0.00242,A,DQA1,32:01,02:01
0.00231,A,DQA1,31:01,04:01
0.00206,A,DQA1,26:01,01:01
0.00204,A,DQA1,11:01,04:01
0.002,A,DQA1,23:01,02:01
0.00167,A,DQA1,33:05,02:01
0.00167,A,DQA1,68:01,06:01
0.00167,A,DQA1,24:07,06:01
0.00167,A,DQA1,36:01,01:02
0.00167,A,DQA1,01:02,03:01
0.00167,A,DQA1,24:05,01:02
0.00167,A,DQA1,02:05,01:02
0.00167,A,DQA1,74:01,05:01
0.00167,A,DQA1,69:01,05:01
0.00167,A,DQA1,68:05,03:01
0.00167,A,DQA1,69:01,02:01
0.00167,A,DQA1,26:01,04:02
0.00167,A,DQA1,68:01,04:02
0.00167,A,DQA1,68:03,04:01
0.00167,A,DQA1,23:01,06:01
0.00167,A,DQA1,34:01,01:01
0.00167,A,DQA1,66:02,01:02
0.00167,A,DQA1,34:02,03:01
0.00162,A,DQA1,33:01,01:03
0.0015,A,DQA1,11:01,02:01
0.00059,A,DQA1,32:01,04:01
0.00036,A,DQA1,68:01,01:03
0.07855,A,DQB1,01:01,02:01
0.06484,A,DQB1,02:01,03:01
0.03955,A,DQB1,03:01,06:02
0.03899,A,DQB1,03:01,05:01
0.03881,A,DQB1,02:01,02:01
0.0274,A,DQB1,02:01,05:01
0.02235,A,DQB1,02:01,06:02
0.02032,A,DQB1,02:01,03:02
0.01943,A,DQB1,01:01,03:03
0.01942,A,DQB1,68:01,03:01
0.01848,A,DQB1,29:02,02:01
0.01815,A,DQB1,11:01,05:01
0.01737,A,DQB1,24:02,03:01
0.01553,A,DQB1,03:01,03:01
0.01397,A,DQB1,03:01,02:01
0.0132,A,DQB1,33:01,03:01
0.01314,A,DQB1,11:01,03:02
0.01279,A,DQB1,03:01,03:02
0.01271,A,DQB1,31:01,03:01
0.0124,A,DQB1,24:02,06:03
0.01214,A,DQB1,01:01,03:01
0.01172,A,DQB1,32:01,03:01
0.01171,A,DQB1,02:01,05:03
0.0115,A,DQB1,24:02,05:03
0.01143,A,DQB1,02:01,04:02
0.01052,A,DQB1,24:02,03:02
0.0101,A,DQB1,31:01,03:02
0.01003,A,DQB1,23:01,03:01
0.01001,A,DQB1,01:01,05:01
0.00971,A,DQB1,68:02,02:01
